source,printed_pages,physical_pages,mechanism,SATNAV_R1_realization
U,"1,9,10,12","4,12,13,15",support compatibility guard event transition lineage,passive post-fit observation record
U,2-3,5-6,cone and paired sphere,exact primitive helper; configurable local support
U,3-4,6-7,log chart metric Jacobian,explicit local ENU diagnostic; 3D preserved
U,5,8,jitter intervals,two explicitly distinct interval interpretations; no measurement injection
U,5,8,time phase winding,full tick plus 14-bit residue and winding
U,6,9,two topology profiles,"separate optional local helpers, not Earth identification"
U,8,11,20/18/14/12 codec pair,exact golden pair and new roundtrip tests
aTOMos M2,project conversation,,ASA JK OTAN2 profiles,retained discrete selection and passive diagnostics
G1-G6,primary websites,,GNSS and geodesy additions,corrected-code WLS and coordinate conversions
H1-H4,primary websites,,target and CUDA data API,SM120 compile target and dual read backend
